school_distances_m,hospital_distances_m,transit_distances_m,competitor_distances_m,Outlet_ID
"[578.1, 906.6, 1257.3, 622.5, 1909.6, 1166.8, 1607.7, 1648.8, 1982.7, 2000.5, 1865.8, 1499.1, 970.4, 1842.3, 1622.3, 1577.2, 973.5, 1992.8, 946.4, 1957.0, 1640.5, 1655.5, 509.8, 1612.5, 905.1, 617.5, 1494.1, 1544.3, 1623.0, 1652.1, 1804.9, 1173.3, 1990.6, 1869.3, 1448.2]","[1761.8, 1104.9, 1451.6, 1876.1]","[1887.6, 1997.7, 1870.8, 1154.6, 380.6, 1903.7, 1905.1, 1847.8, 1858.2, 1890.5, 1553.8, 1047.6, 851.3, 367.7, 170.2, 829.6, 1969.4]","[744.2, 1974.1, 1995.4, 1768.1, 891.1, 1408.9]",OUT_00358
"[1598.0, 843.8, 1710.5]",[],"[1551.9, 1678.3, 1716.8, 1996.9, 1950.1, 1601.4, 1630.5, 1554.0]",[1655.0],OUT_00359
"[1427.0, 1360.7, 621.1]",[],[1545.4],"[1550.2, 719.4, 1573.0, 1638.4, 1471.4, 1478.8]",OUT_00360
[],[],[],[],OUT_00361
[1297.8],[],"[1184.4, 1030.2, 1642.5, 1929.3, 1632.9]",[],OUT_00362
[],[],[1361.3],[1460.5],OUT_00363
"[105.3, 1155.1]",[879.6],[],[],OUT_00364
[],[],[],[],OUT_00365
"[1143.3, 1898.0, 1657.7, 938.0]","[1773.8, 1074.0]","[1130.7, 1753.8, 1782.2, 1735.0, 1756.1, 1691.2, 1574.5, 1199.4, 1508.3, 1483.5, 1735.2]","[1212.4, 1632.7, 1691.9, 1659.3, 1578.7, 1267.1, 1768.1, 1293.9, 1833.9, 1787.2, 1977.0, 1878.0, 1820.7, 985.7, 1747.7, 960.2, 1383.5, 549.8, 1403.1]",OUT_00366
"[1867.6, 1541.6, 1707.3]",[],[],"[1238.2, 1984.0, 1642.1]",OUT_00367
[],[],[],[],OUT_00368
[],[],[],[],OUT_00369
[],[],"[1265.0, 1251.2]","[1238.7, 1241.7]",OUT_00370
[],[1515.3],[],[],OUT_00371
"[1745.5, 1814.3]",[1794.0],"[1512.8, 1015.1, 1140.2, 1729.9]",[1481.6],OUT_00372
"[1600.8, 667.7, 1146.6, 1199.0, 1996.5]",[],[],"[985.5, 1275.3, 869.5, 1691.9, 1665.1, 1621.7, 1607.3, 1604.0]",OUT_00373
"[425.7, 1852.7, 1789.3, 131.0, 1879.0, 1682.5, 1015.9, 358.9, 490.6, 369.7]","[549.6, 489.7, 550.0]","[1778.0, 481.0, 637.4, 1038.8, 1449.8, 677.5, 1890.9, 200.5, 238.5, 294.9, 570.0, 545.5, 459.7, 1117.2, 742.4, 989.7, 852.0, 347.8, 539.7]","[1688.0, 478.8, 278.4, 471.4, 1138.9, 885.1]",OUT_00374
[],[],[],[],OUT_00375
[1810.6],[],[],[674.2],OUT_00376
[],[],[],[],OUT_00377
"[1476.4, 1310.8, 350.5]",[],[],"[948.4, 1608.8, 386.0, 642.9]",OUT_00378
[],[],[],[],OUT_00379
[],[],[],[1208.3],OUT_00380
"[1958.7, 1732.0, 1857.1, 159.8, 759.6, 770.7, 467.6, 1832.4, 1927.6, 1895.5, 1661.0, 776.9, 1971.8, 1582.1, 1398.6, 1650.8, 1006.4, 1305.8]","[269.9, 1313.1, 1752.7]","[1978.9, 1129.2, 963.9, 1930.4, 1010.5, 501.8, 277.1, 517.4, 952.1, 1324.1, 1780.0]","[1702.1, 1887.7, 1781.0, 1824.0, 1322.8, 1975.3, 1947.0]",OUT_00381
[1350.8],[],"[1267.7, 1643.3, 1395.3, 1173.6, 1554.1, 1457.3, 1871.9, 1679.1, 1399.5, 1915.2]",[],OUT_00382
[],[],[],[],OUT_00383
"[1569.5, 1256.7, 905.2]",[],[],"[608.1, 1582.9, 777.1, 1095.1, 1926.5, 1566.2]",OUT_00384
"[1940.6, 369.5]",[],[],[1884.5],OUT_00385
[],[],[],[],OUT_00386
[],[],[],[],OUT_00387
"[670.1, 518.7]","[1990.3, 1070.8]","[945.3, 941.3, 432.6, 914.1, 303.1, 1544.6, 1532.1, 1833.4, 1889.2, 1989.6, 1198.1]","[1072.0, 1245.2, 1686.4, 1667.0, 1490.3, 158.1, 1034.6, 720.2, 1987.9, 1774.2, 833.5, 1051.5, 1936.9, 890.4, 524.8, 1188.4, 466.0, 1199.7, 872.4, 1098.4, 1429.9]",OUT_00388
"[1094.0, 795.1, 933.7, 1859.3, 1969.4, 1592.3, 1533.8]","[1276.1, 710.4]","[811.9, 1220.5, 1278.4, 1967.0, 945.4, 1963.4, 982.0, 1586.4, 763.6, 1571.1, 1510.8, 1487.8, 1984.6, 1977.5, 1803.4, 213.9, 224.8, 866.5]","[685.0, 1952.9, 905.9, 1193.4, 74.5, 381.1, 1434.8, 1739.1, 1851.4, 242.3, 618.6, 782.7, 700.8, 1695.7, 1484.4, 186.7, 1238.1, 1303.3, 582.2, 1198.8, 327.2]",OUT_00389
"[1593.9, 1979.2, 1404.3, 1625.3, 643.8]",[],"[1760.0, 1904.1, 1807.6]","[1801.2, 1721.5, 1014.4, 1008.6, 1446.9, 1629.9, 1655.5, 1041.1, 860.3]",OUT_00390
[],[],[],[],OUT_00391
"[1495.0, 1621.8, 1264.8, 1792.3, 1821.6]",[1611.4],"[1989.0, 1001.3, 1083.2, 1526.4, 1303.2, 1237.5, 1835.0, 1773.6]","[1069.9, 1068.9, 703.8, 744.0, 851.9]",OUT_00392
[],[],[],[],OUT_00393
[],[],[1007.0],[],OUT_00394
[1541.4],[],[],"[1812.8, 1779.3]",OUT_00395
"[1186.8, 1487.0, 1498.0, 1073.4, 932.2, 1029.5]",[],"[1114.2, 1247.9]",[1092.5],OUT_00396
"[1429.4, 982.2]",[],"[1231.4, 1661.5, 932.5, 898.7, 464.3, 831.4, 1518.4, 645.6, 1952.4, 1441.0, 1928.5, 1894.5, 1185.5, 1013.5, 1753.4, 1697.6, 1580.1, 1219.3]",[],OUT_00397
"[1062.3, 1986.2, 1873.2]",[],"[581.0, 678.3]",[1376.5],OUT_00398
"[1586.4, 560.5, 1236.8, 1214.1, 1812.2, 1843.4, 329.1, 1483.7, 134.7, 1573.3, 1686.4, 1816.2, 1891.5, 1953.3, 1823.3, 1880.3, 1728.4, 1521.5, 1949.6, 1805.0, 1670.8, 1937.1, 824.2, 472.6, 1346.9, 1317.1, 327.7, 732.6, 608.3, 1052.7, 1168.5, 399.4, 122.7, 94.2, 1441.9]","[1716.7, 499.1, 1583.6, 1833.8]","[116.6, 1054.4, 341.4, 266.5, 366.0, 1875.0, 694.9, 1216.6, 1428.8, 1616.6, 561.1, 509.9, 1757.9, 1741.9, 651.9, 1254.7, 1497.4, 1964.9, 1564.3, 1578.8, 1371.6, 1348.5, 1349.9, 1236.7, 1213.9, 977.8, 890.5, 839.6, 663.9, 676.8, 286.7, 270.1, 673.9, 1285.5, 1579.2, 1799.9, 1350.8, 1324.6, 1632.8, 1814.5]","[1340.7, 305.8, 339.0, 1608.6, 902.5, 484.0, 685.9, 1102.1, 1867.2, 1686.8, 623.2, 546.4, 752.7, 1680.2, 1793.0, 1459.6, 905.1, 844.1, 591.0, 1058.7, 1206.1, 260.9, 1395.5, 1574.8, 1283.0, 687.3, 598.9, 769.9, 428.6, 898.7, 217.7, 737.1, 1388.4]",OUT_00399
[763.9],[],[],[835.8],OUT_00400
